,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
388,44.0,4,97.0,52.0,2130.0,24.6,82,2,vw pickup
89,12.0,8,429.0,198.0,4952.0,11.5,73,1,mercury marquis brougham
327,44.6,4,91.0,67.0,1850.0,13.8,80,3,honda civic 1500 gl
41,12.0,8,383.0,180.0,4955.0,11.5,71,1,dodge monaco (sw)
49,28.0,4,116.0,90.0,2123.0,14.0,71,2,opel 1900
366,29.0,4,135.0,84.0,2525.0,16.0,82,1,dodge aries se
300,34.5,4,105.0,70.0,2150.0,14.9,79,1,plymouth horizon tc3
111,19.0,4,122.0,85.0,2310.0,18.5,73,1,ford pinto
262,18.1,8,302.0,139.0,3205.0,11.2,78,1,ford futura
123,11.0,8,350.0,180.0,3664.0,11.0,73,1,oldsmobile omega
295,25.4,5,183.0,77.0,3530.0,20.1,79,2,mercedes benz 300d
213,13.0,8,318.0,150.0,3755.0,14.0,76,1,dodge d100
355,30.7,6,145.0,76.0,3160.0,19.6,81,2,volvo diesel
259,18.1,6,258.0,120.0,3410.0,15.1,78,1,amc concord d/l
277,29.5,4,98.0,68.0,2135.0,16.6,78,3,honda accord lx
161,18.0,6,225.0,95.0,3785.0,19.0,75,1,plymouth fury
22,25.0,4,104.0,95.0,2375.0,17.5,70,2,saab 99e
253,25.1,4,140.0,88.0,2720.0,15.4,78,1,ford fairmont (man)
307,41.5,4,98.0,76.0,2144.0,14.7,80,2,vw rabbit
72,13.0,8,307.0,130.0,4098.0,14.0,72,1,chevrolet chevelle concours (sw)
187,15.5,8,304.0,120.0,3962.0,13.9,76,1,amc matador
244,32.8,4,78.0,52.0,1985.0,19.4,78,3,mazda glc deluxe
377,38.0,4,91.0,67.0,1965.0,15.0,82,3,honda civic
237,30.0,4,97.0,67.0,1985.0,16.4,77,3,subaru dl
148,26.0,4,108.0,93.0,2391.0,15.5,74,3,subaru
303,28.4,4,151.0,90.0,2670.0,16.0,79,1,buick skylark limited
100,23.0,6,198.0,95.0,2904.0,16.0,73,1,plymouth duster
313,24.3,4,151.0,90.0,3003.0,20.1,80,1,amc concord
93,13.0,8,440.0,215.0,4735.0,11.0,73,1,chrysler new yorker brougham
102,11.0,8,400.0,150.0,4997.0,14.0,73,1,chevrolet impala
207,19.0,4,120.0,88.0,3270.0,21.9,76,2,peugeot 504
198,18.0,6,250.0,78.0,3574.0,21.0,76,1,ford granada ghia
301,31.8,4,85.0,65.0,2020.0,19.2,79,3,datsun 210
260,19.2,8,305.0,145.0,3425.0,13.2,78,1,chevrolet monte carlo landau
272,20.3,5,131.0,103.0,2830.0,15.9,78,2,audi 5000
340,39.0,4,86.0,64.0,1875.0,16.4,81,1,plymouth champ
320,46.6,4,86.0,65.0,2110.0,17.9,80,3,mazda glc
170,25.0,4,90.0,71.0,2223.0,16.5,75,2,volkswagen dasher
5,15.0,8,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500
64,14.0,8,351.0,153.0,4129.0,13.0,72,1,ford galaxie 500
137,14.0,8,302.0,140.0,4638.0,16.0,74,1,ford gran torino (sw)
178,25.0,4,121.0,115.0,2671.0,13.5,75,2,saab 99le
279,19.8,6,200.0,85.0,2990.0,18.2,79,1,mercury zephyr 6
318,37.0,4,119.0,92.0,2434.0,15.0,80,3,datsun 510 hatchback
310,37.2,4,86.0,65.0,2019.0,16.4,80,3,datsun 310
28,9.0,8,304.0,193.0,4732.0,18.5,70,1,hi 1200d
233,26.0,4,97.0,75.0,2265.0,18.2,77,3,toyota corolla liftback
290,18.5,8,360.0,150.0,3940.0,13.0,79,1,chrysler lebaron town @ country (sw)
60,21.0,4,122.0,86.0,2226.0,16.5,72,1,ford pinto runabout
294,27.4,4,121.0,80.0,2670.0,15.0,79,1,amc spirit dl
1,15.0,8,350.0,165.0,3693.0,11.5,70,1,buick skylark 320
298,23.9,8,260.0,90.0,3420.0,22.2,79,1,oldsmobile cutlass salon brougham
391,31.0,4,119.0,82.0,2720.0,19.4,82,1,chevy s-10
185,17.5,8,305.0,140.0,4215.0,13.0,76,1,chevrolet chevelle malibu classic
227,16.0,8,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj
299,34.2,4,105.0,70.0,2200.0,13.2,79,1,plymouth horizon
263,17.5,8,318.0,140.0,4080.0,13.7,78,1,dodge magnum xe
62,14.0,8,400.0,175.0,4385.0,12.0,72,1,pontiac catalina
13,14.0,8,455.0,225.0,3086.0,10.0,70,1,buick estate wagon (sw)
330,32.7,6,168.0,132.0,2910.0,11.4,80,3,datsun 280-zx
175,23.0,4,115.0,95.0,2694.0,15.0,75,2,audi 100ls
271,23.9,4,119.0,97.0,2405.0,14.9,78,3,datsun 200-sx
30,28.0,4,140.0,90.0,2264.0,15.5,71,1,chevrolet vega 2300
363,27.0,4,112.0,88.0,2640.0,18.6,82,1,chevrolet cavalier wagon
239,22.0,6,146.0,97.0,2815.0,14.5,77,3,datsun 810
105,12.0,8,350.0,180.0,4499.0,12.5,73,1,oldsmobile vista cruiser
37,14.0,8,350.0,165.0,4209.0,12.0,71,1,chevrolet impala
384,32.0,4,144.0,96.0,2665.0,13.9,82,3,toyota celica gt
130,25.0,4,140.0,75.0,2542.0,17.0,74,1,chevrolet vega
381,38.0,6,262.0,85.0,3015.0,17.0,82,1,oldsmobile cutlass ciera (diesel)
4,17.0,8,302.0,140.0,3449.0,10.5,70,1,ford torino
91,13.0,8,351.0,158.0,4363.0,13.0,73,1,ford ltd
